time_sec,leg_id,planned_x_rel_m,planned_y_rel_m,planned_z_rel_m,actual_x_rel_m,actual_y_rel_m,actual_z_rel_m,actual_x_abs_m,actual_y_abs_m,actual_z_abs_m
0.133424,2,0.002653,0.000000,0.000555,0.002229,0.001294,0.001824,-0.034307,0.109294,-0.262707
0.133424,3,0.002653,0.000000,0.000555,0.001712,0.000029,0.001314,-0.035931,-0.107971,-0.261991
0.136855,0,0.002792,0.000000,0.000600,0.000403,0.000622,0.001853,-0.040674,0.108622,-0.261863
0.136855,1,0.002792,0.000000,0.000600,0.002338,-0.001768,0.002251,-0.034986,-0.109768,-0.260835
0.136855,2,0.002792,0.000000,0.000600,0.002307,0.001286,0.001835,-0.034229,0.109286,-0.262697
0.136855,3,0.002792,0.000000,0.000600,0.001792,0.000029,0.001330,-0.035850,-0.107971,-0.261975
0.139899,0,0.002927,0.000000,0.000643,0.000492,0.000622,0.001866,-0.040585,0.108622,-0.261849
0.139899,1,0.002927,0.000000,0.000643,0.002430,-0.001759,0.002266,-0.034895,-0.109759,-0.260820
0.139899,2,0.002927,0.000000,0.000643,0.002393,0.001277,0.001854,-0.034142,0.109277,-0.262678
0.139899,3,0.002927,0.000000,0.000643,0.001873,0.000021,0.001350,-0.035769,-0.107979,-0.261955
0.142859,0,0.003064,0.000000,0.000687,0.000565,0.000622,0.001882,-0.040512,0.108622,-0.261833
0.142859,1,0.003064,0.000000,0.000687,0.002502,-0.001744,0.002277,-0.034822,-0.109744,-0.260809
0.142859,2,0.003064,0.000000,0.000687,0.002456,0.001277,0.001870,-0.034080,0.109277,-0.262662
0.142859,3,0.003064,0.000000,0.000687,0.001940,0.000029,0.001359,-0.035702,-0.107971,-0.261946
0.146692,0,0.003223,0.000000,0.000742,0.000599,0.000614,0.001901,-0.040478,0.108614,-0.261814
0.146692,1,0.003223,0.000000,0.000742,0.002604,-0.001736,0.002294,-0.034720,-0.109736,-0.260792
0.146692,2,0.003223,0.000000,0.000742,0.002563,0.001261,0.001889,-0.033972,0.109261,-0.262643
0.146692,3,0.003223,0.000000,0.000742,0.002045,0.000029,0.001381,-0.035597,-0.107971,-0.261924
0.149616,0,0.003365,0.000000,0.000790,0.000683,0.000590,0.001918,-0.040394,0.108590,-0.261798
0.149616,1,0.003365,0.000000,0.000790,0.002698,-0.001720,0.002308,-0.034626,-0.109720,-0.260778
0.149616,2,0.003365,0.000000,0.000790,0.002644,0.001253,0.001902,-0.033891,0.109253,-0.262629
0.149616,3,0.003365,0.000000,0.000790,0.002110,0.000029,0.001400,-0.035532,-0.107971,-0.261906
0.152585,0,0.003512,0.000000,0.000841,0.000755,0.000582,0.001937,-0.040323,0.108582,-0.261778
0.152585,1,0.003512,0.000000,0.000841,0.002790,-0.001719,0.002336,-0.034535,-0.109719,-0.260751
0.152585,2,0.003512,0.000000,0.000841,0.002720,0.001245,0.001929,-0.033815,0.109245,-0.262603
0.152585,3,0.003512,0.000000,0.000841,0.002197,0.000029,0.001421,-0.035446,-0.107971,-0.261884
0.155453,0,0.003659,0.000000,0.000892,0.000849,0.000590,0.001959,-0.040228,0.108590,-0.261756
0.155453,1,0.003659,0.000000,0.000892,0.002881,-0.001719,0.002354,-0.034444,-0.109719,-0.260732
0.155453,2,0.003659,0.000000,0.000892,0.002807,0.001245,0.001951,-0.033729,0.109245,-0.262580
0.155453,3,0.003659,0.000000,0.000892,0.002272,0.000037,0.001438,-0.035370,-0.107963,-0.261867
0.158719,0,0.003818,0.000000,0.000951,0.000902,0.000582,0.001988,-0.040175,0.108582,-0.261728
0.158719,1,0.003818,0.000000,0.000951,0.002991,-0.001711,0.002379,-0.034333,-0.109711,-0.260707
0.158719,2,0.003818,0.000000,0.000951,0.002915,0.001229,0.001970,-0.033621,0.109229,-0.262561
0.158719,3,0.003818,0.000000,0.000951,0.002364,0.000037,0.001465,-0.035278,-0.107963,-0.261840
0.161546,0,0.003971,0.000000,0.001006,0.000985,0.000582,0.002021,-0.040092,0.108582,-0.261695
0.161546,1,0.003971,0.000000,0.001006,0.003083,-0.001703,0.002403,-0.034242,-0.109703,-0.260683
0.161546,2,0.003971,0.000000,0.001006,0.003009,0.001213,0.001994,-0.033526,0.109213,-0.262538
0.161546,3,0.003971,0.000000,0.001006,0.002472,0.000037,0.001490,-0.035171,-0.107963,-0.261815
0.165837,0,0.004163,0.000000,0.001083,0.001083,0.000582,0.002051,-0.039994,0.108582,-0.261664
0.165837,1,0.004163,0.000000,0.001083,0.003199,-0.001687,0.002439,-0.034126,-0.109687,-0.260647
0.165837,2,0.004163,0.000000,0.001083,0.003126,0.001213,0.002037,-0.033410,0.109213,-0.262495
0.165837,3,0.004163,0.000000,0.001083,0.002593,0.000037,0.001529,-0.035049,-0.107963,-0.261776
0.169546,0,0.004344,0.000000,0.001155,0.001212,0.000590,0.002114,-0.039865,0.108590,-0.261602
0.169546,1,0.004344,0.000000,0.001155,0.003337,-0.001687,0.002485,-0.033988,-0.109687,-0.260601
0.169546,2,0.004344,0.000000,0.001155,0.003250,0.001197,0.002072,-0.033285,0.109197,-0.262460
0.169546,3,0.004344,0.000000,0.001155,0.002709,0.000037,0.001562,-0.034933,-0.107963,-0.261743
0.173002,0,0.004523,0.000000,0.001227,0.001317,0.000590,0.002159,-0.039760,0.108590,-0.261556
0.173002,1,0.004523,0.000000,0.001227,0.003471,-0.001679,0.002525,-0.033853,-0.109679,-0.260561
0.173002,2,0.004523,0.000000,0.001227,0.003375,0.001197,0.002114,-0.033161,0.109197,-0.262418
0.173002,3,0.004523,0.000000,0.001227,0.002847,0.000037,0.001599,-0.034796,-0.107963,-0.261707
0.176395,0,0.004611,0.000000,0.001276,0.001432,0.000605,0.002212,-0.039645,0.108605,-0.261503
0.176395,1,0.004611,0.000000,0.001276,0.003588,-0.001678,0.002577,-0.033737,-0.109678,-0.260509
0.176395,2,0.004611,0.000000,0.001276,0.003497,0.001188,0.002150,-0.033039,0.109188,-0.262382
0.176395,3,0.004611,0.000000,0.001276,0.002973,0.000029,0.001637,-0.034669,-0.107971,-0.261668
0.179609,0,0.004695,0.000000,0.001323,0.001531,0.000605,0.002261,-0.039546,0.108605,-0.261454
0.179609,1,0.004695,0.000000,0.001323,0.003709,-0.001686,0.002628,-0.033615,-0.109686,-0.260458
0.179609,2,0.004695,0.000000,0.001323,0.003613,0.001180,0.002190,-0.032923,0.109180,-0.262342
0.179609,3,0.004695,0.000000,0.001323,0.003084,0.000037,0.001671,-0.034558,-0.107963,-0.261635
0.182839,0,0.004779,0.000000,0.001371,0.001604,0.000605,0.002320,-0.039473,0.108605,-0.261395
0.182839,1,0.004779,0.000000,0.001371,0.003847,-0.001693,0.002687,-0.033478,-0.109693,-0.260399
0.182839,2,0.004779,0.000000,0.001371,0.003732,0.001172,0.002232,-0.032804,0.109172,-0.262299
